"Titulo","Ano","Duracao","Plataforma","Classificacao Indicativa","IMDb","Rotten Tomatoes","Enredo"
"Big Men",2014,"99.0","Outra",,"7.2/10","54/100","The film's central story follows a small group of American explorers at Dallas-based oil company Kosmos Energy. Between 2007 and 2011, with unprecedented, independent access, Big Men's two-person crew filmed inside the oil company as Kosmos and its partners discovered and developed the first commercial oil field in Ghana's history. Simultaneously the crew filmed in the swamps of Nigeria's Niger Delta, following the exploits of a militant gang to reveal another side of the economy of oil: people trying to profit in any way possible, because they've given up on waiting for the money to trickle down. So what happens when a group of hungry people discover a massive and exquisitely rare pot of gold in one of the poorest places on earth?"
"The Midnight Man",2016,"90.0","Outra",,"4.8/10","54/100",
"Black and White",1999,"121.0","Outra","18+","4.9/10","54/100","Thriller starring Gina Gershon as hard-edged, experienced cop Nora 'Hugs' Hugosian, who is assigned a new partner--rookie cop Chris O'Brien (Rory Cochrane)--to help her with the serial-killer case she is working on. The two begin a passionate affair, but it isn't long before Chris has suspicions about Nora's real involvement with the murders."
"Journey to the South Pacific",2013,"40.0","Outra","all","6.3/10","54/100","Narrated by Academy Award winner Cate Blanchett, Journey to the South Pacific takes moviegoers on a breathtaking IMAX 3D adventure to the lush tropical islands of remote West Papua, where life flourishes above and below the sea. Join Jawi, a young island boy, as he takes us on a journey of discovery to this magical place where we encounter whale sharks, sea turtles, manta rays, and other iconic creatures of the sea. Home to more than 2,000 species of sea life, this exotic locale features the most diverse marine ecosystem on earth. An uplifting story of hope and celebration, Journey to the South Pacific highlights the importance of living in balance with the ocean planet we all call home."
"The Dinner",2017,"114.0","Outra","18+","4.5/10","54/100","A former history teacher and his wife Claire meet at a fancy restaurant with his elder brother, a prominent politician and his wife Babette. The plan is to discuss over dinner how to handle a crime committed by their teenage sons. The violent act of the two boys had been filmed by a security camera and shown on TV, but, so far, they have not been identified. The parents have to decide on what to do."
"Before We Vanish",2017,"129.0","Outra","18+","6.2/10","54/100","As vanguards of an invasion of the planet three aliens take possession of host bodies and assume human form. With superior technology, skills, strength and endurance the invading species is learning quickly and is sure to overwhelm the people of this planet. Unexpectedly, however, there is one force that could neuter the offensive."
"Pokémon the Movie: Volcanion and the Mechanical Marvel",2016,"90.0","Outra","7+","6.0/10","54/100","Ash meets the Mythical Pokémon Volcanion when it crashes down from the sky, creating a cloud of dust-and a mysterious force binds the two of them together! Volcanion despises humans and tries to get away, but it's forced to drag Ash along as it continues its rescue mission. They arrive in a city of cogs and gears, where a corrupt official has stolen the ultimate invention: the Artificial Pokémon Magearna, created 500 years ago. He plans to use its mysterious power to take control of this mechanical kingdom! Can Ash and Volcanion work together to rescue Magearna? One of the greatest battles in Pokémon history is about to unfold!"
"The Ultimate Playlist of Noise",2021,"99.0","Outra","18+","6.6/10","54/100",
"Eating Animals",2018,"94.0","Outra","Unrated","7.3/10","54/100","Eating Animals is the feature-length documentary adaptation of Jonathan Safran Foer's critically acclaimed book of the same name. The film reveals through intimate narratives what has happened to our country in the past 40 years as we have moved away from traditional farming communities to massive industrial farming complexes that produce a seemingly endless supply of so-called ""cheap"" meat, eggs, and dairy. What starts out as a simple question - where does our meat come from? - quickly takes us down the rabbit hole of today's industrial animal agriculture and becomes an exploration of the ultimate stakes of eating animals, the destruction of farming, and the complete unwinding of the American mythos."
"Into the Ashes",2019,"98.0","Outra",,"5.2/10","54/100","With an honest job and a loving wife, Nick Brenner believed he had safely escaped his violent, criminal history. But his old crew hasn't forgotten about him or the money he stole, and when they take what Nick now values the most - his wife - he has nothing left to lose. Confronted by the town sheriff, who is also his father-in-law, Nick must decide if he will stay on his new path or indulge in his need for revenge and force his enemies to pay for what they have done."
"This Is Not Berlin",2019,"115.0","Outra","18+","6.6/10","54/100","Seventeen-year-old Carlos doesn't fit in anywhere, not in his family nor with the friends he has chosen in school. But everything changes when he is invited to a mythical nightclub where he discovers the underground nightlife scene: punk, sexual liberty and drugs."
"Just Eat It: A Food Waste Story",2014,"75.0","Outra",,"7.3/10","54/100","We all love food. As a society, we devour countless cooking shows, culinary magazines and foodie blogs. So how could we possibly be throwing nearly 50% of it in the trash? Filmmakers and food lovers Jen and Grant dive into the issue of waste from farm, through retail, all the way to the back of their own fridge. After catching a glimpse of the billions of dollars of good food that is tossed each year in North America, they pledge to quit grocery shopping and survive only on discarded food. What they find is truly shocking."
"Chasing Trane",2017,"99.0","Outra",,"7.3/10","54/100",
"Rabid Dogs",2015,"96.0","Outra",,"5.8/10","54/100","On paper, it was supposed to be a simple, in-and-out bank heist in the heart of the bustling city centre. However, there is no such thing as a foolproof plan. Now, with a bag crammed with cash, a trail of dead bodies, and nearly every police officer in town after them, gang leader, Sabri, and his two violent partners-in-crime find themselves cornered. And, forced to think up a desperate, last-minute plan to stay alive, the ruthless criminals resort to adding kidnapping to the already heavy charges. As a result, a young brunette, an unfortunate father, and his gravely ill four-year-old daughter become hostages, as the trigger-happy gangsters engage in a frantic escape across the country over the course of a single day. But in this hopeless fight for survival, nothing is what it seems."
"AWOL",2017,"100.0","Outra",,"5.5/10","54/100","A young woman named Joey has a bright future ahead of her just as long as she can get out of the dead end town that she's in. So just as she's about to make her decision to leave she meets and falls in love with Rayna a married mother of 2 little girls. This is the story about their complicated and somewhat secret love affair."
"The Night Watchmen",2017,"80.0","Outra","18+","5.4/10","54/100","Three inept night watchmen, aided by a young rookie and a fearless tabloid journalist, fight an epic battle to save their lives. A mistaken warehouse delivery unleashes a horde of hungry vampires, and these unlikely heroes must not only save themselves but also stop the scourge that threatens to take over the city of Baltimore."
